"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.925430602E2,6.126831873E1,2.402885654E1,1.007789549E2,1.399999976E0,2.511999969E2,3.790092468E0,2.500000000E0
1.935430501E2,6.126831524E1,2.402883281E1,1.008502295E2,1.429999948E0,2.531000061E2,3.790092468E0,2.500000000E0
1.945434726E2,6.126831318E1,2.402880732E1,1.008087723E2,1.440000057E0,2.597000122E2,3.790092468E0,2.500000000E0
1.955430123E2,6.126830999E1,2.402878174E1,1.007776903E2,1.460000038E0,2.523999939E2,3.790092468E0,2.500000000E0
1.965433712E2,6.126830618E1,2.402875777E1,1.008632468E2,1.389999986E0,2.533000031E2,3.790092468E0,2.500000000E0
1.975433572E2,6.126830245E1,2.402873390E1,1.008130612E2,1.399999976E0,2.525000000E2,3.790092468E0,2.500000000E0
1.985428151E2,6.126829882E1,2.402871064E1,1.006332984E2,1.399999976E0,2.558000031E2,3.790092468E0,2.500000000E0
1.995431327E2,6.126829444E1,2.402868672E1,1.007452827E2,1.450000048E0,2.528000031E2,3.790092468E0,2.500000000E0
2.005431182E2,6.126828981E1,2.402866300E1,1.009175087E2,1.389999986E0,2.543000031E2,3.790092468E0,2.500000000E0
2.015430915E2,6.126828462E1,2.402864048E1,1.011058481E2,1.379999995E0,2.476999969E2,3.790092468E0,2.500000000E0
2.025435599E2,6.126828037E1,2.402861694E1,1.007930891E2,1.389999986E0,2.576000061E2,3.790092468E0,2.500000000E0
2.035432360E2,6.126827665E1,2.402859227E1,1.010804275E2,1.419999957E0,2.530000000E2,3.790092468E0,2.500000000E0
2.045428100E2,6.126827254E1,2.402857001E1,1.009924007E2,1.389999986E0,2.521999969E2,3.790092468E0,2.500000000E0
2.055435763E2,6.126826991E1,2.402854539E1,1.010578161E2,1.450000048E0,2.643999939E2,3.790092468E0,2.500000000E0
2.065431567E2,6.126826825E1,2.402852023E1,1.007517720E2,1.289999962E0,2.632000122E2,3.790092468E0,2.500000000E0
2.075434328E2,6.126826455E1,2.402849460E1,1.008121202E2,1.470000029E0,2.528999939E2,3.790092468E0,2.500000000E0
2.085428441E2,6.126826017E1,2.402846911E1,1.011819162E2,1.429999948E0,2.553999939E2,3.790092468E0,2.500000000E0
2.095428706E2,6.126825689E1,2.402844265E1,1.009396520E2,1.419999957E0,2.541999969E2,3.790092468E0,2.500000000E0
2.105431665E2,6.126825293E1,2.402841540E1,1.009438469E2,1.490000010E0,2.553999939E2,3.790092468E0,2.500000000E0
2.115429110E2,6.126824833E1,2.402838794E1,1.009683659E2,1.460000038E0,2.503999939E2,3.790092468E0,2.500000000E0
2.125426888E2,6.126824286E1,2.402836159E1,1.011586563E2,1.450000048E0,2.483999939E2,3.790092468E0,2.500000000E0
2.135431617E2,6.126823812E1,2.402833602E1,1.011881811E2,1.379999995E0,2.520000000E2,3.790092468E0,2.500000000E0
2.145428530E2,6.126823450E1,2.402830936E1,1.015365538E2,1.429999948E0,2.553000031E2,3.790092468E0,2.500000000E0
2.155431777E2,6.126823221E1,2.402828129E1,1.015865868E2,1.399999976E0,2.592999878E2,3.790092468E0,2.500000000E0
2.165435000E2,6.126822930E1,2.402825550E1,1.007573481E2,1.299999952E0,2.495000000E2,3.790092468E0,2.500000000E0
2.175427318E2,6.126822507E1,2.402823127E1,9.990357313E1,1.360000014E0,2.483000031E2,3.790092468E0,2.500000000E0
2.185432092E2,6.126822083E1,2.402820524E1,1.001647875E2,1.429999948E0,2.533999939E2,3.790092468E0,2.500000000E0
2.195434542E2,6.126821745E1,2.402817764E1,1.001583625E2,1.389999986E0,2.555000000E2,3.790092468E0,2.500000000E0
2.205434732E2,6.126821487E1,2.402814962E1,1.005898040E2,1.419999957E0,2.586000061E2,3.790092468E0,2.562452316E0
2.215434797E2,6.126821127E1,2.402812171E1,1.008353929E2,1.509999990E0,2.558000031E2,3.790092468E0,2.500000000E0
2.225434638E2,6.126820718E1,2.402809532E1,1.010035285E2,1.480000019E0,2.508000031E2,3.790092468E0,2.500000000E0
2.235430722E2,6.126820211E1,2.402806804E1,1.015954911E2,1.500000000E0,2.500000000E2,3.790092468E0,2.500000000E0
2.245429382E2,6.126819834E1,2.402804065E1,1.013917393E2,1.409999967E0,2.521000061E2,3.790092468E0,2.500000000E0
2.255428756E2,6.126819501E1,2.402801321E1,1.012396845E2,1.379999995E0,2.511000061E2,3.790092468E0,2.543351173E0
2.265428203E2,6.126819021E1,2.402798493E1,1.020409364E2,1.460000038E0,2.486999969E2,3.790092468E0,2.525777102E0
2.275434475E2,6.126818438E1,2.402795577E1,1.024228755E2,1.509999990E0,2.448999939E2,3.790092468E0,2.536257744E0
2.285429923E2,6.126817838E1,2.402792768E1,1.027761896E2,1.450000048E0,2.421999969E2,3.790092468E0,2.512613058E0
2.295426973E2,6.126817199E1,2.402789953E1,1.032397939E2,1.470000029E0,2.415000000E2,3.790092468E0,2.500000000E0
2.305434915E2,6.126816606E1,2.402787266E1,1.036228327E2,1.429999948E0,2.410000000E2,3.790092468E0,2.500000000E0
2.315432383E2,6.126816050E1,2.402784745E1,1.037641735E2,1.389999986E0,2.401999969E2,3.790092468E0,2.500000000E0
2.325432262E2,6.126815365E1,2.402782415E1,1.039759488E2,1.460000038E0,2.321000061E2,3.790092468E0,2.500000000E0
2.335433738E2,6.126814478E1,2.402780580E1,1.038300592E2,1.419999957E0,2.226999969E2,3.790092468E0,2.500000000E0
2.345433293E2,6.126813544E1,2.402778941E1,1.038008694E2,1.419999957E0,2.256000061E2,3.790092468E0,2.500000000E0
2.355434085E2,6.126812709E1,2.402777236E1,1.040331546E2,1.419999957E0,2.256999969E2,3.790092468E0,2.500000000E0
2.365431158E2,6.126811821E1,2.402775637E1,1.042521343E2,1.360000014E0,2.196000061E2,3.790092468E0,2.500000000E0
2.375434205E2,6.126810930E1,2.402773889E1,1.046160107E2,1.379999995E0,2.223000031E2,3.790092468E0,2.500000000E0
2.385435674E2,6.126810029E1,2.402771911E1,1.047431915E2,1.470000029E0,2.253000031E2,3.790092468E0,2.500000000E0
2.395429541E2,6.126809171E1,2.402769848E1,1.050740466E2,1.460000038E0,2.240000000E2,3.790092468E0,2.500000000E0
2.405435242E2,6.126808291E1,2.402767892E1,1.053618111E2,1.440000057E0,2.226999969E2,3.790092468E0,2.500000000E0
2.415429150E2,6.126807520E1,2.402765827E1,1.057724397E2,1.450000048E0,2.286999969E2,3.790092468E0,2.500000000E0
2.425433982E2,6.126806710E1,2.402763814E1,1.062264033E2,1.450000048E0,2.256000061E2,3.790092468E0,2.500000000E0
2.435431895E2,6.126805894E1,2.402761807E1,1.064441607E2,1.409999967E0,2.243999939E2,3.790092468E0,2.500000000E0
2.445431854E2,6.126805063E1,2.402759803E1,1.067000651E2,1.409999967E0,2.258999939E2,3.790092468E0,2.500000000E0
2.455428175E2,6.126804290E1,2.402757764E1,1.067723149E2,1.389999986E0,2.253999939E2,3.790092468E0,2.500000000E0
2.465431384E2,6.126803504E1,2.402755716E1,1.070838834E2,1.470000029E0,2.226999969E2,3.790092468E0,2.500000000E0
2.475429934E2,6.126802673E1,2.402753765E1,1.074010673E2,1.379999995E0,2.228999939E2,3.790092468E0,2.500000000E0
2.485428739E2,6.126801857E1,2.402751852E1,1.075148823E2,1.389999986E0,2.206999969E2,3.790092468E0,2.500000000E0
2.495432153E2,6.126800960E1,2.402750383E1,1.076187503E2,1.379999995E0,2.086999969E2,3.790092468E0,2.500000000E0
2.505430101E2,6.126800175E1,2.402748572E1,1.076688454E2,1.429999948E0,2.230000000E2,3.790092468E0,2.500000000E0
2.515425557E2,6.126799435E1,2.402746515E1,1.080480411E2,1.389999986E0,2.241000061E2,3.790092468E0,2.500000000E0
2.525427246E2,6.126798681E1,2.402744335E1,1.082834373E2,1.480000019E0,2.255000000E2,3.790092468E0,2.500000000E0
2.535417256E2,6.126797869E1,2.402742227E1,1.082003520E2,1.419999957E0,2.240000000E2,3.790092468E0,2.500000000E0
2.545423078E2,6.126797017E1,2.402740379E1,1.081933786E2,1.370000005E0,2.180000000E2,3.790092468E0,2.500000000E0
2.555417059E2,6.126796201E1,2.402738452E1,1.083024328E2,1.350000024E0,2.248000031E2,3.790092468E0,2.500000000E0
2.565424157E2,6.126795371E1,2.402736562E1,1.084435917E2,1.360000014E0,2.198000031E2,3.790092468E0,2.500000000E0
2.575417883E2,6.126794425E1,2.402734790E1,1.084953948E2,1.350000024E0,2.195000000E2,3.790092468E0,2.500000000E0
2.585423150E2,6.126793385E1,2.402733077E1,1.086637136E2,1.360000014E0,2.226999969E2,3.790092468E0,2.500000000E0
2.595424356E2,6.126792380E1,2.402731288E1,1.084512340E2,1.370000005E0,2.248000031E2,3.790092468E0,2.615569115E0
2.605419596E2,6.126791485E1,2.402729168E1,1.086056358E2,1.429999948E0,2.311999969E2,3.790092468E0,2.686338902E0
2.615419444E2,6.126790731E1,2.402726772E1,1.087132843E2,1.440000057E0,2.366000061E2,3.790092468E0,2.817122459E0
2.625416620E2,6.126789915E1,2.402724342E1,1.086149996E2,1.509999990E0,2.300000000E2,3.790092468E0,2.505624533E0
2.635421275E2,6.126789012E1,2.402722323E1,1.085129322E2,1.409999967E0,2.225000000E2,3.790092468E0,2.549912691E0
2.645425633E2,6.126788048E1,2.402719831E1,1.090796241E2,1.610000014E0,2.266000061E2,3.790092468E0,2.500000000E0
2.655421187E2,6.126786960E1,2.402717507E1,1.088922877E2,1.590000033E0,2.226999969E2,3.790092468E0,2.500000000E0
2.665417286E2,6.126785780E1,2.402715599E1,1.087459683E2,1.519999981E0,2.215000000E2,3.790092468E0,2.500000000E0
2.675423722E2,6.126784553E1,2.402713825E1,1.084125155E2,1.480000019E0,2.221999969E2,3.790092468E0,2.500000000E0
2.685417809E2,6.126783284E1,2.402711996E1,1.082312227E2,1.500000000E0,2.191000061E2,3.790092468E0,2.500000000E0
2.695418752E2,6.126781902E1,2.402710938E1,1.081242738E2,1.490000010E0,2.056000061E2,3.790092468E0,2.500000000E0
2.705419188E2,6.126780438E1,2.402710722E1,1.082106879E2,1.440000057E0,1.853999939E2,3.790092468E0,2.500000000E0
2.715418715E2,6.126779048E1,2.402711737E1,1.076194965E2,1.440000057E0,1.688999939E2,3.790092468E0,2.500000000E0
2.725425168E2,6.126777747E1,2.402713762E1,1.068260403E2,1.500000000E0,1.586000061E2,3.790092468E0,2.500000000E0
2.735417428E2,6.126776554E1,2.402716071E1,1.063602230E2,1.450000048E0,1.506999969E2,3.790092468E0,2.500000000E0
2.745419576E2,6.126775523E1,2.402718483E1,1.068169537E2,1.429999948E0,1.416000061E2,3.790092468E0,2.500000000E0
2.755423539E2,6.126774491E1,2.402720779E1,1.066433128E2,1.429999948E0,1.416000061E2,3.790092468E0,2.500000000E0
2.765417970E2,6.126773425E1,2.402722892E1,1.068469291E2,1.470000029E0,1.448999939E2,3.790092468E0,2.500000000E0
2.775423021E2,6.126772335E1,2.402725021E1,1.064413533E2,1.419999957E0,1.418999939E2,3.790092468E0,2.500000000E0
2.785418897E2,6.126771285E1,2.402727175E1,1.060499991E2,1.409999967E0,1.423000031E2,3.790092468E0,2.500000000E0
2.795418166E2,6.126770181E1,2.402729217E1,1.054796279E2,1.419999957E0,1.456000061E2,3.790092468E0,2.500000000E0
2.805425367E2,6.126769115E1,2.402731149E1,1.058089757E2,1.409999967E0,1.458999939E2,3.790092468E0,2.500000000E0
2.815426054E2,6.126768083E1,2.402733184E1,1.053953432E2,1.429999948E0,1.433000031E2,3.790092468E0,2.500000000E0
2.825416391E2,6.126767104E1,2.402735336E1,1.049980081E2,1.429999948E0,1.403000031E2,3.790092468E0,2.500000000E0
2.835421503E2,6.126766174E1,2.402737647E1,1.047934842E2,1.419999957E0,1.360000000E2,3.790092468E0,2.500000000E0
2.845422179E2,6.126765271E1,2.402739925E1,1.047209184E2,1.399999976E0,1.326999969E2,3.790092468E0,2.500000000E0
2.855419988E2,6.126764396E1,2.402742199E1,1.045885383E2,1.389999986E0,1.331000061E2,3.790092468E0,2.572610855E0
2.865426436E2,6.126763407E1,2.402744233E1,1.044200233E2,1.379999995E0,1.425000000E2,3.790092468E0,2.500000000E0
2.875420252E2,6.126762430E1,2.402746157E1,1.041362125E2,1.289999962E0,1.395000000E2,3.790092468E0,2.500000000E0
2.885423706E2,6.126761556E1,2.402748312E1,1.037705554E2,1.379999995E0,1.331000061E2,3.790092468E0,2.584928989E0
2.895426200E2,6.126760651E1,2.402750519E1,1.037383334E2,1.399999976E0,1.393000031E2,3.790092468E0,2.725485563E0
2.905422082E2,6.126759742E1,2.402752708E1,1.030775103E2,1.389999986E0,1.353000031E2,3.790092468E0,3.059380293E0
2.915418648E2,6.126758871E1,2.402754969E1,1.026588752E2,1.379999995E0,1.351999969E2,3.790092468E0,3.034917355E0
2.925419878E2,6.126757989E1,2.402757074E1,1.022511646E2,1.389999986E0,1.401000061E2,3.790092468E0,3.063065767E0
2.935421870E2,6.126757068E1,2.402759105E1,1.025520715E2,1.360000014E0,1.383000031E2,3.790092468E0,3.042175531E0
2.945425678E2,6.126756315E1,2.402761207E1,1.017714370E2,1.360000014E0,1.383999939E2,3.790092468E0,3.173304319E0
2.955418640E2,6.126755412E1,2.402763369E1,1.014334287E2,1.399999976E0,1.435000000E2,3.790092468E0,3.057569742E0
2.965419437E2,6.126754549E1,2.402765598E1,1.010552599E2,1.360000014E0,1.368999939E2,3.790092468E0,2.814535141E0
2.975418128E2,6.126753741E1,2.402767710E1,1.010379917E2,1.350000024E0,1.393000031E2,3.790092468E0,2.604324341E0
2.985419613E2,6.126752991E1,2.402769980E1,1.013479953E2,1.389999986E0,1.279000015E2,3.790092468E0,2.500000000E0
2.995422664E2,6.126752191E1,2.402771964E1,1.005964737E2,1.440000057E0,1.348000031E2,3.790092468E0,2.500000000E0
3.005419642E2,6.126751355E1,2.402773791E1,1.000267747E2,1.440000057E0,1.315000000E2,3.790092468E0,2.500000000E0
3.015419027E2,6.126750508E1,2.402775486E1,9.964378152E1,1.399999976E0,1.341999969E2,3.790092468E0,2.500000000E0
3.025423624E2,6.126749616E1,2.402777166E1,9.994499205E1,1.440000057E0,1.343000031E2,3.790092468E0,2.500000000E0
3.035417097E2,6.126748682E1,2.402778970E1,9.978471608E1,1.379999995E0,1.360000000E2,3.790092468E0,2.500000000E0
3.045417420E2,6.126747703E1,2.402780938E1,9.972032685E1,1.519999981E0,1.331000061E2,3.790092468E0,2.500000000E0
3.055423636E2,6.126746766E1,2.402782909E1,9.981408002E1,1.419999957E0,1.366000061E2,3.790092468E0,2.500000000E0
3.065417172E2,6.126745847E1,2.402784812E1,9.977331150E1,1.450000048E0,1.381000061E2,3.790092468E0,2.500000000E0
3.075421698E2,6.126744925E1,2.402786810E1,9.974291940E1,1.419999957E0,1.338999939E2,3.790092468E0,2.500000000E0
3.085422194E2,6.126744055E1,2.402788838E1,9.996203956E1,1.470000029E0,1.346000061E2,3.790092468E0,2.500000000E0
3.095425742E2,6.126743135E1,2.402790802E1,9.975006772E1,1.460000038E0,1.396999969E2,3.790092468E0,2.500000000E0
3.105418968E2,6.126742257E1,2.402792940E1,9.968622939E1,1.490000010E0,1.293000031E2,3.790092468E0,2.500000000E0
3.115424501E2,6.126741423E1,2.402795075E1,9.942225708E1,1.470000029E0,1.341000061E2,3.790092468E0,2.500000000E0
3.125423724E2,6.126740520E1,2.402797056E1,9.943367413E1,1.450000048E0,1.383999939E2,3.790092468E0,2.500000000E0
3.135418555E2,6.126739636E1,2.402799114E1,9.933242080E1,1.480000019E0,1.346000061E2,3.790092468E0,2.500000000E0
3.145419813E2,6.126738755E1,2.402801079E1,9.930117435E1,1.460000038E0,1.388000031E2,3.790092468E0,2.500000000E0
3.155426025E2,6.126737906E1,2.402803026E1,9.901467902E1,1.440000057E0,1.351999969E2,3.790092468E0,2.500000000E0
3.165425203E2,6.126737174E1,2.402805257E1,9.908963615E1,1.440000057E0,1.276999969E2,3.790092468E0,2.500000000E0
3.175424136E2,6.126736433E1,2.402807554E1,9.897099004E1,1.429999948E0,1.316000061E2,3.790092468E0,2.500000000E0
3.185423894E2,6.126735607E1,2.402809757E1,9.905589509E1,1.440000057E0,1.363999939E2,3.790092468E0,2.500000000E0
3.195417424E2,6.126734820E1,2.402812097E1,9.902031771E1,1.440000057E0,1.298999939E2,3.790092468E0,2.500000000E0
3.205420478E2,6.126734161E1,2.402814710E1,9.923895405E1,1.440000057E0,1.253000031E2,3.790092468E0,2.500000000E0
3.215422278E2,6.126733586E1,2.402817267E1,9.888221230E1,1.360000014E0,1.251999969E2,3.790092468E0,2.500000000E0
3.225420973E2,6.126732944E1,2.402819854E1,9.889827295E1,1.409999967E0,1.230999985E2,3.790092468E0,2.500000000E0
3.235422856E2,6.126732221E1,2.402822365E1,9.878512121E1,1.440000057E0,1.296999969E2,3.790092468E0,2.500000000E0
3.245425249E2,6.126731414E1,2.402824833E1,9.859927578E1,1.470000029E0,1.295000000E2,3.790092468E0,2.500000000E0
3.255422475E2,6.126730766E1,2.402827229E1,9.834281346E1,1.370000005E0,1.211999969E2,3.790092468E0,2.500000000E0
3.265419934E2,6.126730165E1,2.402829492E1,9.820848215E1,1.309999943E0,1.258000031E2,3.790092468E0,2.500000000E0
3.275420913E2,6.126729559E1,2.402831899E1,9.818969108E1,1.450000048E0,1.190000000E2,3.790092468E0,2.500000000E0
3.285425722E2,6.126728890E1,2.402834352E1,9.806915419E1,1.450000048E0,1.281000061E2,3.790092468E0,2.500000000E0
3.295419357E2,6.126728136E1,2.402836570E1,9.790485329E1,1.429999948E0,1.318000031E2,3.790092468E0,2.500000000E0
3.305424550E2,6.126727403E1,2.402838788E1,9.774769366E1,1.429999948E0,1.259000015E2,3.790092468E0,2.500000000E0
3.315424141E2,6.126726631E1,2.402841171E1,9.787776603E1,1.440000057E0,1.291999969E2,3.790092468E0,2.500000000E0
3.325421688E2,6.126725723E1,2.402843414E1,9.807949198E1,1.450000048E0,1.351000061E2,3.790092468E0,2.500000000E0
3.335425662E2,6.126724788E1,2.402845261E1,9.813821037E1,1.299999952E0,1.415000000E2,3.790092468E0,2.500000000E0
3.345426210E2,6.126723909E1,2.402847868E1,9.900491640E1,1.460000038E0,1.343999939E2,3.790092468E0,2.500000000E0
3.355420186E2,6.126723265E1,2.402851191E1,1.008300017E2,1.549999952E0,1.125999985E2,3.790092468E0,2.500000000E0
3.365419694E2,6.126722275E1,2.402853872E1,1.014233309E2,1.529999971E0,1.491999969E2,3.790092468E0,2.500000000E0
3.375422500E2,6.126721016E1,2.402855477E1,1.019713646E2,1.399999976E0,1.456999969E2,3.790092468E0,2.500000000E0
3.385425155E2,6.126719809E1,2.402856661E1,1.017013423E2,1.470000029E0,1.448000031E2,3.790092468E0,2.500000000E0
3.395425916E2,6.126718518E1,2.402857719E1,1.013177324E2,1.529999971E0,1.456000061E2,3.790092468E0,2.500000000E0
3.405425355E2,6.126717266E1,2.402858581E1,1.009665314E2,1.470000029E0,1.441999969E2,3.790092468E0,2.500000000E0
3.415420190E2,6.126716105E1,2.402859394E1,1.006174671E2,1.490000010E0,1.410000000E2,3.790092468E0,2.500000000E0
3.425420007E2,6.126715087E1,2.402860488E1,1.007144502E2,1.460000038E0,1.345000000E2,3.790092468E0,2.500000000E0
3.435417087E2,6.126714078E1,2.402861727E1,1.009116537E2,1.480000019E0,1.380000000E2,3.790092468E0,2.500000000E0
3.445417450E2,6.126713071E1,2.402863008E1,1.010721144E2,1.460000038E0,1.406999969E2,3.790092468E0,2.500000000E0
3.455423207E2,6.126712142E1,2.402864538E1,1.009876427E2,1.409999967E0,1.341000061E2,3.790092468E0,2.500000000E0
3.465426092E2,6.126711333E1,2.402866392E1,1.006085569E2,1.429999948E0,1.269000015E2,3.790092468E0,2.500000000E0
3.475420705E2,6.126710473E1,2.402868068E1,1.007834859E2,1.440000057E0,1.413999939E2,3.790092468E0,2.500000000E0
3.485424690E2,6.126709524E1,2.402869737E1,1.008116857E2,1.450000048E0,1.368000031E2,3.790092468E0,2.500000000E0
3.495417271E2,6.126708584E1,2.402871534E1,1.010355650E2,1.470000029E0,1.415000000E2,3.790092468E0,2.500000000E0
3.505419894E2,6.126707689E1,2.402873433E1,1.012726897E2,1.460000038E0,1.343999939E2,3.790092468E0,2.500000000E0
3.515424273E2,6.126706887E1,2.402875371E1,1.010507088E2,1.440000057E0,1.351000061E2,3.790092468E0,2.500000000E0
3.525425500E2,6.126706060E1,2.402877345E1,1.010900805E2,1.429999948E0,1.321999969E2,3.790092468E0,2.500000000E0
3.535423298E2,6.126705241E1,2.402879112E1,1.007880205E2,1.360000014E0,1.391999969E2,3.790092468E0,2.500000000E0
3.545418540E2,6.126704326E1,2.402880946E1,1.008623640E2,1.429999948E0,1.356999969E2,3.790092468E0,2.500000000E0
3.555421982E2,6.126703373E1,2.402882969E1,1.008629167E2,1.419999957E0,1.346000061E2,3.790092468E0,2.500000000E0
3.565423917E2,6.126702566E1,2.402884949E1,1.007882748E2,1.370000005E0,1.313000031E2,3.790092468E0,2.500000000E0
3.575416986E2,6.126701705E1,2.402886795E1,1.008966153E2,1.450000048E0,1.416999969E2,3.790092468E0,2.500000000E0
3.585425084E2,6.126700859E1,2.402888755E1,1.010893071E2,1.419999957E0,1.325000000E2,3.790092468E0,2.500000000E0
3.595418196E2,6.126700114E1,2.402890884E1,1.010926694E2,1.429999948E0,1.275999985E2,3.790092468E0,2.500000000E0
3.605424477E2,6.126699294E1,2.402892938E1,1.007410503E2,1.450000048E0,1.343999939E2,3.790092468E0,2.500000000E0
3.615419049E2,6.126698499E1,2.402894901E1,1.005104027E2,1.419999957E0,1.353999939E2,3.790092468E0,2.500000000E0
3.625422116E2,6.126697632E1,2.402896880E1,1.005578918E2,1.460000038E0,1.351000061E2,3.790092468E0,2.500000000E0
3.635424990E2,6.126696832E1,2.402898971E1,1.006346788E2,1.440000057E0,1.323999939E2,3.790092468E0,2.500000000E0
3.645419620E2,6.126696047E1,2.402901249E1,1.005173750E2,1.450000048E0,1.303000031E2,3.790092468E0,2.500000000E0
3.655423486E2,6.126695213E1,2.402903319E1,1.006904141E2,1.460000038E0,1.338000031E2,3.790092468E0,2.500000000E0
3.665416558E2,6.126694353E1,2.402905483E1,1.004780165E2,1.440000057E0,1.310000000E2,3.790092468E0,2.500000000E0
3.675425376E2,6.126693510E1,2.402907665E1,1.005712832E2,1.440000057E0,1.348999939E2,3.790092468E0,2.500000000E0
3.685421267E2,6.126692679E1,2.402909867E1,1.005184929E2,1.440000057E0,1.350000000E2,3.790092468E0,2.500000000E0
3.695424845E2,6.126691870E1,2.402912049E1,1.004207808E2,1.440000057E0,1.330000000E2,3.790092468E0,2.500000000E0
3.705419837E2,6.126691065E1,2.402914330E1,1.005537821E2,1.440000057E0,1.310000000E2,3.790092468E0,2.500000000E0
3.715416758E2,6.126690255E1,2.402916683E1,1.007164468E2,1.429999948E0,1.326000061E2,3.790092468E0,2.500000000E0
3.725422473E2,6.126689390E1,2.402918912E1,1.008740446E2,1.399999976E0,1.350000000E2,3.790092468E0,2.500000000E0
3.735422226E2,6.126688527E1,2.402921068E1,1.005393325E2,1.379999995E0,1.366999969E2,3.790092468E0,2.500000000E0
3.745421299E2,6.126687697E1,2.402923162E1,1.007042541E2,1.389999986E0,1.351000061E2,3.790092468E0,2.500000000E0
3.755421853E2,6.126686882E1,2.402925074E1,1.007879981E2,1.350000024E0,1.378999939E2,3.790092468E0,2.500000000E0
3.765422224E2,6.126686174E1,2.402927042E1,1.011398706E2,1.370000005E0,1.323000031E2,3.790092468E0,2.500000000E0
3.775419262E2,6.126685490E1,2.402929016E1,1.009991896E2,1.379999995E0,1.326000061E2,3.790092468E0,2.500000000E0
3.785417289E2,6.126684769E1,2.402931074E1,1.012861821E2,1.389999986E0,1.275999985E2,3.790092468E0,2.500000000E0
3.795418911E2,6.126683967E1,2.402933008E1,1.013256758E2,1.370000005E0,1.371999969E2,3.790092468E0,2.500000000E0
3.805422568E2,6.126683128E1,2.402934759E1,1.010669506E2,1.370000005E0,1.371000061E2,3.790092468E0,2.500000000E0
3.815417612E2,6.126682375E1,2.402936784E1,1.011444090E2,1.389999986E0,1.293000031E2,3.790092468E0,2.500000000E0
3.825422583E2,6.126681694E1,2.402938747E1,1.009836474E2,1.299999952E0,1.328999939E2,3.790092468E0,2.500000000E0
3.835417078E2,6.126680850E1,2.402940515E1,1.009148636E2,1.370000005E0,1.431000061E2,3.790092468E0,2.500000000E0
